sample_site,gage,HUC12
634TRT002,10336775,160501010302
634UTR005,103366092,160501010303
633WCR001,10310000,160502010304
632PS0110,103087889,160502010201 
630PS0005,10289000,160503010103
205SAR057,11169500,180500030402
204ALA320,11180500,180500040603
312ORB,11141050,180600080501
402M00005,11114495,180701010101
402SNPMCR,11114495,180701010101
402PS0048,11114495,180701010101
SMC13599,11114495,180701010101
SMC09503,11114495,180701010101
SMC00632,11097000,180701050208
SMC00382,11085000,180701060601
801MIC042,11073495,1.80702E+11
SMC03438,11075720,1.80701E+11
